5.780306,1506,6,91.89,6,7,1,0
2.371344,40,3,98.72,1,0,0,1
14.511635,1476,1,27,3,1,1,0
6.505632,314,4,34.79,4,6,1,0
11.741258,1476,1,28.1,3,2,1,0
10.4581209,1441,4,24.79,4,7,1,0
39.8758062,1492,2,10.03,5,1,1,0
54.815967,1492,2,85.49,2,6,1,0
1.044078,111,7,32.33,7,1,1,0
61.024938,1492,2,87.03,7,7,1,0
1.720883,1467,7,70.43,7,4,1,0
18.497318,1476,1,64.18,0,4,1,0
11.406453,1514,4,10.58,3,7,1,0
2.996548,1492,3,79.52,3,6,1,0
0.737621,1470,7,23.38,0,1,0,1
6.513577,1514,4,2.66,4,6,1,0
1.286174,1470,7,18.51,7,5,1,0
1.377762,71,7,58.55,6,3,1,0
9.295566,1514,4,19.68,3,3,0,1
12.680866,1476,1,96.84,7,3,1,0
16.252403,1476,1,85.13,2,4,1,0
3.935611,74,3,83.07,0,5,1,0
1.465017,111,7,71.93,5,3,1,0
11.925633,1476,1,5.42,4,5,1,0
13.722238,1476,1,70.17,4,5,1,0
46.6555991,1492,2,23.28,6,4,1,0
4.665227,54,6,65.46,7,5,1,0
57.7610578,1492,2,23.45,6,1,1,0
19.193953,1492,2,53.29,6,4,0,1
10.204057,1514,4,42.96,7,3,1,0
4.256848,54,6,10.73,4,3,1,0
2.31121,965,3,20.18,2,7,1,0
46.4727128,672,2,44.42,6,3,1,0
8.10919,54,4,79.34,5,0,1,0
2.804565,1492,3,47.52,4,4,1,0
1.668931,40,7,39.47,7,5,1,0
1.657705,109,7,2.94,1,2,0,1
5.369703,67,6,77.12,1,0,0,1
3.78983,1492,3,81.12,1,6,1,0
6.585763,1514,4,38.31,1,0,0,1
6.071371,1514,6,68.97,0,0,0,1
11.560662,1454,4,11.76,6,4,1,0
4.173573,66,6,9.42,1,3,0,1
47.7220712,1492,2,45.59,6,0,1,0
13.063842,1476,1,17.56,3,2,1,0
3.042609,1492,3,13.53,2,4,0,1
7.161217,1514,4,53.97,1,1,0,1
4.764397,239,6,0.4,7,0,1,0
